Geography,Geography,Gender (3),Age (20),Total - Type of collective dwelling,  Health care and related facilities,    Hospitals,    Nursing homes,    Residences for senior citizens,    Facilities that are a mix of both a nursing home and a residence for senior citizens,    Residential care facilities such as group homes for persons with disabilities and addictions,  Correctional and custodial facilities,  Shelters,  Service collective dwellings,    Lodging and rooming houses,"    Hotels, motels and other establishments with temporary accommodation services",    Other service collective dwellings,  Religious establishments,  Hutterite colonies,  Other collective dwellings
13,New Brunswick,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,Total - Age,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,  65 years and over,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Men+,    85 years and over,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,Total - Age,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,  65 years and over,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
13,New Brunswick,  Women+,    85 years and over,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
24,Quebec,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
24,Quebec,  Men+,Total - Age,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,  65 years and over,,,,,,,,,,,,,,,,
24,Quebec,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
24,Quebec,  Men+,    85 years and over,,,,,,,,,,,,,,,,
24,Quebec,  Women+,Total - Age,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,  65 years and over,,,,,,,,,,,,,,,,
24,Quebec,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
24,Quebec,  Women+,    85 years and over,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
35,Ontario,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
35,Ontario,  Men+,Total - Age,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,  65 years and over,,,,,,,,,,,,,,,,
35,Ontario,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
35,Ontario,  Men+,    85 years and over,,,,,,,,,,,,,,,,
35,Ontario,  Women+,Total - Age,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,  65 years and over,,,,,,,,,,,,,,,,
35,Ontario,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
35,Ontario,  Women+,    85 years and over,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
46,Manitoba,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,Total - Age,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,  65 years and over,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
46,Manitoba,  Men+,    85 years and over,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,Total - Age,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,  65 years and over,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
46,Manitoba,  Women+,    85 years and over,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
47,Saskatchewan,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,Total - Age,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,  65 years and over,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Men+,    85 years and over,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,Total - Age,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,  65 years and over,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
47,Saskatchewan,  Women+,    85 years and over,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
