Geography,Geography,Gender (3),Age (20),Total - Type of collective dwelling,  Health care and related facilities,    Hospitals,    Nursing homes,    Residences for senior citizens,    Facilities that are a mix of both a nursing home and a residence for senior citizens,    Residential care facilities such as group homes for persons with disabilities and addictions,  Correctional and custodial facilities,  Shelters,  Service collective dwellings,    Lodging and rooming houses,"    Hotels, motels and other establishments with temporary accommodation services",    Other service collective dwellings,  Religious establishments,  Hutterite colonies,  Other collective dwellings
48,Alberta,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
48,Alberta,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
48,Alberta,  Men+,Total - Age,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,  65 years and over,,,,,,,,,,,,,,,,
48,Alberta,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
48,Alberta,  Men+,    85 years and over,,,,,,,,,,,,,,,,
48,Alberta,  Women+,Total - Age,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,  65 years and over,,,,,,,,,,,,,,,,
48,Alberta,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
48,Alberta,  Women+,    85 years and over,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
59,British Columbia,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,Total - Age,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,  65 years and over,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
59,British Columbia,  Men+,    85 years and over,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,Total - Age,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,  65 years and over,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
59,British Columbia,  Women+,    85 years and over,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
60,Yukon,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
60,Yukon,  Men+,Total - Age,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,  65 years and over,,,,,,,,,,,,,,,,
60,Yukon,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
60,Yukon,  Men+,    85 years and over,,,,,,,,,,,,,,,,
60,Yukon,  Women+,Total - Age,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,  65 years and over,,,,,,,,,,,,,,,,
60,Yukon,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
60,Yukon,  Women+,    85 years and over,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
61,Northwest Territories,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,Total - Age,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,  65 years and over,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Men+,    85 years and over,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,Total - Age,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,  65 years and over,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
61,Northwest Territories,  Women+,    85 years and over,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
62,Nunavut,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,Total - Age,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,  65 years and over,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
62,Nunavut,  Men+,    85 years and over,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,Total - Age,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,  65 years and over,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
62,Nunavut,  Women+,    85 years and over,,,,,,,,,,,,,,,,
